Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season,TotalGoals,GoalDiff,ShotDiff,TargetDiff
2015-10-31,Getafe,Barcelona,0,2,A,0,1,A,6,14,0,6,10,3,3,5,3,0,0,0,SP1 (9),2,-2,-8,-6
2015-10-31,Real Madrid,Las Palmas,3,1,H,3,1,H,17,8,11,5,12,9,6,3,0,3,0,0,SP1 (9),4,2,9,6
2015-11-01,Betis,Ath Bilbao,1,3,A,0,2,A,11,23,3,9,9,13,7,9,2,4,0,0,SP1 (9),4,-2,-12,-6
2015-11-01,Eibar,Vallecano,1,0,H,1,0,H,12,6,1,2,17,11,2,6,2,3,0,0,SP1 (9),1,1,6,-1
2015-11-01,Espanol,Granada,1,1,D,0,0,D,10,9,4,5,16,19,5,6,1,6,1,0,SP1 (9),2,0,1,-1
2015-11-01,Sp Gijon,Malaga,1,0,H,1,0,H,8,13,6,5,11,8,7,5,1,3,0,0,SP1 (9),1,1,-5,1
2015-11-06,Las Palmas,Sociedad,2,0,H,1,0,H,8,11,4,6,17,14,0,8,1,4,0,0,SP1 (9),2,2,-3,-2
2015-11-07,Vallecano,Granada,2,1,H,2,0,H,7,8,2,2,15,14,4,1,2,3,1,0,SP1 (9),3,1,-1,0
2015-11-07,Levante,La Coruna,1,1,D,0,1,A,15,9,5,5,13,10,9,5,4,2,0,0,SP1 (9),2,0,6,0
2015-11-07,Malaga,Betis,0,1,A,0,0,D,12,7,5,2,16,12,6,3,2,5,0,0,SP1 (9),1,-1,5,3
2015-11-07,Celta,Valencia,1,5,A,1,2,A,17,9,3,5,16,27,15,5,1,3,0,0,SP1 (9),6,-4,8,-2
2015-11-07,Eibar,Getafe,3,1,H,2,1,H,16,10,7,4,13,9,5,7,3,1,0,1,SP1 (9),4,2,6,3
2015-11-08,Ath Bilbao,Espanol,2,1,H,1,0,H,8,5,2,1,17,25,4,5,2,6,0,0,SP1 (9),3,1,3,1
2015-11-08,Ath Madrid,Sp Gijon,1,0,H,0,0,D,15,9,3,2,14,15,5,1,4,3,0,0,SP1 (9),1,1,6,1
2015-11-08,Barcelona,Villarreal,3,0,H,0,0,D,20,5,9,2,12,19,7,2,5,3,0,0,SP1 (9),3,3,15,7
2015-11-08,Sevilla,Real Madrid,3,2,H,1,1,D,14,28,5,10,13,11,4,6,1,1,0,0,SP1 (9),5,1,-14,-5
2015-11-21,Sociedad,Sevilla,2,0,H,0,0,D,14,12,7,5,6,14,7,5,2,1,0,0,SP1 (9),2,2,2,2
2015-11-21,Espanol,Malaga,2,0,H,2,0,H,7,14,3,5,20,16,3,8,3,2,0,0,SP1 (9),2,2,-7,-2
2015-11-21,La Coruna,Celta,2,0,H,1,0,H,5,6,2,4,16,13,2,10,6,3,0,0,SP1 (9),2,2,-1,-2
2015-11-21,Real Madrid,Barcelona,0,4,A,0,2,A,13,18,7,7,13,10,10,4,3,2,1,0,SP1 (9),4,-4,-5,0
2015-11-21,Valencia,Las Palmas,1,1,D,1,0,H,9,18,3,7,22,12,1,8,3,3,0,0,SP1 (9),2,0,-9,-4
2015-11-22,Villarreal,Eibar,1,1,D,0,1,A,12,17,5,7,8,13,12,6,3,2,0,1,SP1 (9),2,0,-5,-2
2015-11-22,Sp Gijon,Levante,0,3,A,0,3,A,13,13,2,6,15,15,5,3,4,5,0,0,SP1 (9),3,-3,0,-4
2015-11-22,Granada,Ath Bilbao,2,0,H,1,0,H,8,11,1,6,21,15,2,7,6,3,0,0,SP1 (9),2,2,-3,-5
2015-11-22,Betis,Ath Madrid,0,1,A,0,1,A,6,11,3,4,12,8,2,6,1,4,0,0,SP1 (9),1,-1,-5,-1
2015-11-23,Getafe,Vallecano,1,1,D,0,0,D,15,8,8,4,20,15,5,7,5,4,0,0,SP1 (9),2,0,7,4
2015-11-27,Levante,Betis,0,1,A,0,1,A,14,11,1,5,12,15,7,4,6,4,1,1,SP1 (9),1,-1,3,-4
